"TypeID","StationID","Type","High","Low","Average"
626,60005686,"Buy",9317000,8225000,8875034.48275862
626,60005686,"Sell",28020000,13880000,16818135.5932203
626,60008494,"Buy",9217000,0.02,228.313780703895
626,60008494,"Sell",1190000000,11900000,49097956.2043796
626,60011866,"Buy",10390000,9548,5877664.87931035
626,60011866,"Sell",14970000,11500000,12622984.2931937
626,60015131,"Buy",1210000,1003000,1085800
626,1032717532381,"Buy",8500000,8500000,8500000
627,60001096,"Buy",5692000,5692000,5692000
627,60001096,"Sell",10990000,10990000,10990000
627,60003760,"Buy",11320000,0.02,940.645393517269
627,60003760,"Sell",1100000000,12820000,63329196.4285714
627,60004588,"Buy",3001000,0.02,47.0219184958746
627,60004588,"Sell",12530000,12040000,12174210.5263158
627,60005686,"Buy",8008000,3003000,6339333.33333333
627,60005686,"Sell",28400000,13490000,17578461.5384615
627,60008494,"Buy",9050000,0.02,742.586454286843
627,60008494,"Sell",13160000,12940000,12988235.2941176
627,60011866,"Buy",9745000,109700,3898500
627,60011866,"Sell",16880000,14800000,15484107.1428571
627,60015131,"Buy",1190000,1003000,1069785.71428571
631,60003760,"Buy",8731000,0.02,1831.74654843192
631,60003760,"Sell",98960000,10080000,14784189.1891892
631,60004588,"Buy",5100000,0.02,61.5698099396931
631,60004588,"Sell",10990000,9732000,10153916.6666667
631,60005686,"Buy",8004000,8003000,8003555.55555556
631,60005686,"Sell",27600000,13880000,20815825.2427184
631,60008494,"Buy",9000000,0.02,308.869012124333
631,60008494,"Sell",12880000,11800000,12586455.6962025
631,60011866,"Buy",8000000,8000000,8000000
631,60011866,"Sell",13500000,11980000,12417419.3548387
633,60003760,"Buy",7660000,0.02,451.321634012089
633,60003760,"Sell",15000000,9950000,10996815.0470219
633,60004588,"Buy",5010000,0.02,100.217995640087
633,60004588,"Sell",12000000,11990000,11995000
633,60005686,"Buy",4525000,4525000,4525000
633,60005686,"Sell",29510000,10500000,17532916.6666667
633,60008494,"Buy",2002000,0.02,80.3658209773092
633,60008494,"Sell",10490000,9881000,10051500
633,60011866,"Buy",6001000,6000000,6000200
633,60011866,"Sell",30030000,9000000,12865589.4736842
633,60015131,"Buy",1006000,1006000,1006000
649,60001096,"Buy",150700,150600,150652.941176471
649,60003760,"Buy",2032000,0.02,61.943955849457
649,60003760,"Sell",2748000,2588000,2598909.57446809
649,60004588,"Buy",1040000,0.02,98.8109093363411
649,60004588,"Sell",2687000,2582000,2587985.29411765
649,60005686,"Sell",6000000,3932000,4222723.07692308
649,60006526,"Sell",3800000,3800000,3800000
649,60008494,"Buy",1651000,0.02,62.6825658717064
649,60008494,"Sell",3525000,3395000,3429461.53846154
649,60011866,"Buy",1343000,903100,1019277.77777778
649,60011866,"Sell",2882000,2344000,2598407.25806452
649,60015131,"Sell",7000000,7000000,7000000
654,60001096,"Sell",3500000,2500000,3000000
654,60003760,"Buy",2070000,5,203.706264897169
654,60003760,"Sell",42100000,2376000,4590966.77740864
654,60004588,"Buy",0.02,0.02,0.02
654,60004588,"Sell",4000000,3806000,3868806.4516129
